"
Date","Open
","Close
","High
","Low
","Volume
","positive_score
","negative_score
","neutral_score
"
2024-03-06,474.299988,473.799988,474.399994,471.399994,740636,0.001408,0.000202,0.000019
2024-03-07,473.799988,475.600006,477.299988,471.700012,606279,0.000985,0.000142,0.000013
2024-03-08,475.600006,477.299988,478.100006,475.600006,546728,0.000690,0.000099,0.000009
2024-03-11,476.100006,477.799988,477.799988,470.600006,550506,0.000483,0.000069,0.000006
2024-03-12,478.600006,484.399994,484.399994,474.399994,941635,0.000338,0.000049,0.000004
2024-03-13,485.000000,490.100006,490.399994,484.299988,541714,0.000237,0.000034,0.000003
2024-03-14,490.200012,494.899994,497.700012,490.200012,508679,0.920173,0.070242,0.009585
2024-03-15,496.500000,497.200012,497.200012,490.299988,888041,0.644121,0.049170,0.006709
2024-03-18,497.200012,498.799988,499.000000,494.700012,514794,0.450885,0.034419,0.004697
2024-03-19,495.799988,492.500000,502.200012,488.399994,731499,0.315619,0.024093,0.003288
2024-03-20,491.899994,497.399994,501.399994,491.899994,801720,0.220933,0.016865,0.002301
2024-03-21,498.299988,499.700012,502.600006,494.200012,794711,0.154653,0.011806,0.001611
2024-03-22,498.899994,503.600006,503.600006,495.500000,546497,0.108257,0.008264,0.001128
2024-03-25,494.200012,491.399994,497.100006,490.000000,518135,0.075780,0.005785,0.000789
2024-03-26,491.399994,495.000000,495.700012,490.799988,350440,0.053046,0.004049,0.000553
2024-03-27,494.399994,493.899994,497.299988,485.399994,891896,0.037132,0.002835,0.000387
2024-03-28,495.000000,494.600006,497.700012,494.200012,281899,0.025993,0.001984,0.000271
2024-04-02,495.500000,492.299988,503.000000,491.500000,773016,0.018195,0.001389,0.000190
2024-04-03,493.000000,494.100006,495.399994,491.600006,352505,0.012736,0.000972,0.000133
2024-04-04,493.100006,494.600006,494.600006,489.799988,434937,0.008915,0.000681,0.000093
2024-04-05,492.600006,493.399994,493.600006,486.600006,580917,0.006241,0.000476,0.000065
2024-04-08,493.000000,491.299988,494.899994,490.000000,402900,0.004369,0.000333,0.000046
2024-04-09,491.000000,490.200012,493.899994,487.799988,510102,0.003058,0.000233,0.000032
2024-04-10,491.000000,497.399994,497.799988,489.500000,557965,0.002141,0.000163,0.000022
2024-04-11,497.399994,497.600006,499.500000,490.600006,856999,0.001498,0.000114,0.000016
2024-04-12,501.600006,500.200012,504.799988,498.399994,611643,0.001049,0.000080,0.000011
2024-04-15,497.500000,502.000000,507.799988,496.399994,462180,0.000734,0.000056,0.000008
2024-04-16,497.700012,496.399994,500.200012,492.899994,614946,0.000514,0.000039,0.000005
2024-04-17,496.399994,501.799988,505.799988,496.399994,601954,0.000360,0.000027,0.000004
