,Open,Close,High,Low,positive_score,negative_score,neutral_score
2024-02-26,2434.659912109375,2438.639892578125,2443.4599609375,2430.7099609375,0.0,0.0,0.0
2024-02-27,2439.070068359375,2442.219970703125,2444.199951171875,2432.409912109375,0.0,0.0,0.0
2024-02-28,2438.9599609375,2447.2099609375,2451.429931640625,2438.9599609375,0.0,0.0,0.0
2024-02-29,2451.929931640625,2452.81005859375,2459.909912109375,2440.43994140625,0.9534501433372498,0.03291599452495575,0.013633870519697666
2024-03-01,2463.68994140625,2461.489990234375,2472.75,2456.409912109375,0.0,0.0,0.0
2024-03-04,2465.31005859375,2455.360107421875,2465.31005859375,2448.219970703125,0.0,0.0,0.0
2024-03-05,2449.35009765625,2449.0400390625,2458.760009765625,2442.97998046875,0.0,0.0,0.0
2024-03-06,2445.93994140625,2460.81005859375,2462.72998046875,2442.669921875,0.0,0.0,0.0
2024-03-07,2450.02001953125,2471.570068359375,2478.760009765625,2440.89990234375,0.0,0.0,0.0
2024-03-08,2475.080078125,2487.699951171875,2495.85009765625,2471.43994140625,0.0,0.0,0.0
2024-03-11,2472.39990234375,2479.360107421875,2481.5,2466.75,0.9228236079216003,0.0644928589463234,0.012683543376624584
2024-03-12,2489.27001953125,2521.909912109375,2526.090087890625,2488.60009765625,0.0,0.0,0.0
2024-03-13,2527.35009765625,2527.4599609375,2531.800048828125,2512.929931640625,0.0,0.0,0.0
2024-03-14,2534.090087890625,2527.85009765625,2542.969970703125,2523.64990234375,0.0,0.0,0.0
2024-03-15,2528.489990234375,2533.6201171875,2545.639892578125,2527.389892578125,0.0,0.0,0.0
2024-03-18,2534.550048828125,2504.800048828125,2536.179931640625,2502.06005859375,0.0,0.0,0.0
2024-03-19,2497.06005859375,2514.919921875,2515.110107421875,2495.75,0.0,0.0,0.0
2024-03-20,2504.81005859375,2510.43994140625,2519.030029296875,2495.139892578125,0.0,0.0,0.0
2024-03-21,2528.570068359375,2550.5,2551.090087890625,2524.610107421875,0.0,0.0,0.0
2024-03-22,2533.169921875,2534.340087890625,2555.429931640625,2531.25,0.0,0.0,0.0
2024-03-25,2533.840087890625,2526.070068359375,2542.909912109375,2517.510009765625,0.0,0.0,0.0
2024-03-26,2524.199951171875,2547.969970703125,2552.030029296875,2518.2099609375,0.0,0.0,0.0
2024-03-27,2544.550048828125,2537.3701171875,2557.52001953125,2532.47998046875,0.0,0.0,0.0
2024-03-28,2538.719970703125,2518.27001953125,2542.25,2516.2900390625,0.0,0.0,0.0
2024-04-02,2529.409912109375,2508.64990234375,2540.320068359375,2501.8798828125,0.0,0.0,0.0
2024-04-03,2508.52001953125,2513.52001953125,2517.75,2500.070068359375,0.9190795421600342,0.06950026750564575,0.011420154944062233
2024-04-04,2514.530029296875,2521.860107421875,2524.6201171875,2508.949951171875,0.0,0.0,0.0
2024-04-05,2491.639892578125,2504.800048828125,2505.610107421875,2482.929931640625,0.0,0.0,0.0
2024-04-08,2512.3798828125,2522.360107421875,2527.159912109375,2505.89990234375,0.0,0.0,0.0
2024-04-09,2519.300048828125,2513.5,2528.489990234375,2509.030029296875,0.0,0.0,0.0
2024-04-10,2526.070068359375,2519.050048828125,2539.18994140625,2499.64990234375,0.0,0.0,0.0
2024-04-11,2513.2099609375,2499.699951171875,2518.949951171875,2476.610107421875,0.0,0.0,0.0
2024-04-12,2521.60009765625,2506.989990234375,2540.530029296875,2503.5,0.0,0.0,0.0
2024-04-15,2519.8798828125,2523.39990234375,2548.280029296875,2517.25,0.0,0.0,0.0
2024-04-16,2495.60009765625,2491.760009765625,2504.139892578125,2482.780029296875,0.0,0.0,0.0
2024-04-17,2488.419921875,2505.27001953125,2526.010009765625,2487.969970703125,0.0,0.0,0.0
2024-04-18,2522.7099609375,2517.68994140625,2524.18994140625,2498.969970703125,0.0,0.0,0.0
2024-04-19,2490.5400390625,2502.070068359375,2504.159912109375,2481.47998046875,0.0,0.0,0.0
2024-04-22,2518.469970703125,2511.409912109375,2525.5,2506.580078125,0.0,0.0,0.0
2024-04-23,2522.340087890625,2546.330078125,2548.969970703125,2516.860107421875,0.0,0.0,0.0
2024-04-24,2544.070068359375,2543.2099609375,2555.02001953125,2522.669921875,0.0,0.0,0.0
2024-04-25,2542.360107421875,2525.39990234375,2544.909912109375,2507.919921875,0.0,0.0,0.0
2024-04-26,2536.320068359375,2557.699951171875,2565.18994140625,2534.0400390625,0.0,0.0,0.0
2024-04-29,2566.5400390625,2566.81005859375,2572.75,2563.5400390625,0.0,0.0,0.0
2024-04-30,2565.75,2556.39990234375,2568.199951171875,2539.27001953125,0.0,0.0,0.0
2024-05-02,2544.090087890625,2525.2099609375,2547.070068359375,2522.7099609375,0.0,0.0,0.0
2024-05-03,2535.010009765625,2540.080078125,2550.330078125,2524.780029296875,0.0,0.0,0.0
2024-05-06,2549.18994140625,2563.7900390625,2563.919921875,2541.39990234375,0.0,0.0,0.0
2024-05-07,2574.93994140625,2593.169921875,2593.169921875,2561.830078125,0.0,0.0,0.0
2024-05-08,2589.10009765625,2589.10009765625,2606.179931640625,2588.389892578125,0.9450518488883972,0.03509391099214554,0.019854309037327766
2024-05-10,2615.820068359375,2627.8701171875,2633.949951171875,2606.239990234375,0.0,0.0,0.0
